time,google_ads_impressions,bing_ads_impressions,tv_impressions,google_ads_spend,bing_ads_spend,tv_spend,lead_created_count,avg_lead_value,webinar,email_campaign_opens,organic_impressions_search_console,control,50_off_sale
2023-01-01,5813,500,0,349,14,0,1,5383,0,0,6000,600,0
2023-01-08,4583,917,0,275,22,0,1,4293,0,0,6000,600,0
2023-01-15,6014,1203,0,361,25,0,4,6167,0,3000,6000,700,0
2023-01-22,4409,970,0,265,20,0,1,4100,0,200,6000,600,0
2023-01-29,4569,914,0,274,22,0,1,5187,0,100,6000,600,0
2023-02-05,5325,1065,0,319,22,0,3,3747,0,6,6000,800,0
2023-02-12,5676,1192,0,341,29,0,80,3000,0,0,6000,1000,1
2023-02-19,6411,1410,0,385,30,0,5,4675,0,0,6000,1000,0
2023-02-26,5216,1095,0,313,23,0,3,7458,0,0,6000,1000,0
2023-03-05,7037,1407,0,422,30,0,6,6325,0,0,6000,1000,0
2023-03-12,8818,1940,0,529,41,0,12,5257,0,0,6000,1000,0
2023-03-19,10275,2158,0,617,52,0,15,4667,0,0,10275,1000,0
2023-03-26,6909,1520,0,415,41,0,6,4697,0,0,10275,1000,0
2023-04-02,9605,0,0,576,0,0,8,6490,0,3000,10275,1000,0
2023-04-09,9683,0,0,581,0,0,5,4342,0,200,10275,1000,0
2023-04-16,8816,0,0,529,0,0,11,4946,0,100,10275,1000,0
2023-04-23,9936,0,0,596,0,0,13,5557,0,6,10275,1000,0
2023-04-30,8640,0,0,518,0,0,10,5800,0,0,10275,1000,0
2023-05-07,16793,0,0,1008,0,0,20,4117,0,0,10275,1000,0
2023-05-14,15149,3030,0,909,64,0,26,7050,0,0,10275,1000,0
2023-05-21,12303,2707,0,738,57,0,18,6393,0,0,10275,1000,0
2023-05-28,13398,2948,0,804,71,0,21,6050,0,0,10275,1000,0
2023-06-04,8463,1777,0,508,37,0,11,6029,0,0,10275,1000,0
2023-06-11,8336,1667,0,500,35,0,10,5183,0,0,10275,1000,0
2023-06-18,13256,2784,0,795,67,0,21,4407,0,0,10275,1000,0
2023-06-25,15322,3064,0,919,83,0,28,3423,0,0,10275,1000,0
2023-07-02,8929,1875,0,536,51,0,11,4108,0,0,10275,1000,0
2023-07-09,11383,2277,0,683,61,0,16,5163,0,0,10275,1000,0
2023-07-16,8639,1814,0,518,49,0,11,4883,0,0,10275,1000,0
2023-07-23,7754,1551,0,465,37,0,8,5260,0,0,10275,1000,0
2023-07-30,11892,2378,0,714,57,0,12,4483,0,0,10275,1000,0
2023-08-06,21519,4519,0,1291,108,0,28,6000,0,0,10275,1000,0
2023-08-13,21226,4670,0,1274,126,0,30,3975,0,0,10275,1000,0
2023-08-20,20837,4167,0,1250,88,0,28,5790,0,0,10275,1000,0
2023-08-27,12896,2837,0,774,68,0,21,6413,0,0,10275,1000,0
2023-09-03,6464,1357,0,388,37,0,6,6071,0,0,10275,1000,0
2023-09-10,8580,1716,0,515,41,0,10,5493,0,0,10275,1000,0
2023-09-17,6895,1448,0,414,39,0,7,6579,0,0,8000,1000,0
2023-09-24,6896,1448,0,414,30,0,70,3333,0,0,8000,1000,1
2023-10-01,9628,1926,0,578,52,0,13,4757,0,0,8000,1000,0
2023-10-08,9029,1986,0,542,48,0,12,3773,0,0,8000,1000,0
2023-10-15,8929,1786,0,536,43,0,11,4997,0,0,8000,1000,0
2023-10-22,8416,1683,0,505,45,0,10,6042,0,0,8000,1000,0
2023-10-29,10265,2156,0,616,52,0,15,4038,0,0,8000,1000,0
2023-11-05,6807,1361,0,408,33,0,7,5393,0,0,8000,1000,0
2023-11-12,9619,2116,0,577,57,0,13,5000,0,0,8000,1000,0
2023-11-19,8854,1859,0,531,39,0,11,3653,0,0,8000,1000,0
2023-11-26,7722,1622,0,463,34,0,9,5446,0,0,8000,500,0
2023-12-03,5590,1118,0,335,27,0,3,6317,0,0,8000,500,0
2023-12-10,7024,1545,0,421,32,0,6,4930,0,0,8000,500,0
2023-12-17,6845,1369,0,411,33,0,48,6307,300,0,6844.8,500,0
2023-12-24,4446,978,0,267,23,0,1,3942,0,0,4446.2,500,0
2023-12-31,5849,1228,0,351,29,0,4,4871,0,0,5849.2,500,0
2024-01-07,5606,1121,0,336,24,0,0,4129,0,0,5605.6,500,0
2024-01-14,7014,1403,0,421,29,0,6,5721,0,3000,7014.4,500,0
